"lobbyistname","lobbyistlastname","lobbyistfirstname","lobbyistfirmname","lobbyistzip","primarylobbyistid","annuallobbyistregistrationid","billnumber","billinformation","clientname","clientzip","position","reportmonth","reportduedate","fiscalyear","rundate"
"Siegel Long Public Affairs, LLC",,,"Siegel Long Public Affairs, LLC","80203","20225073480","20255089890","SB26-051","Age Attestation on Computing Devices","New Era","80204","Monitoring 02/04/2026 to Ongoing","February","2026-03-16T00:00:00.000","2025-2026","2026-03-13T00:00:00.000"
"Long, Laura Denise (Weist Capitol Group)","Long","Laura","Weist Capitol Group","80209","20135003693","20255092063","SB26-051","Age Attestation on Computing Devices","Colorado Cable Television Association","80209","Amending 02/11/2026 to Ongoing","February","2026-03-16T00:00:00.000","2025-2026","2026-03-13T00:00:00.000"
"Politicalworks, LLC",,,"Politicalworks, LLC","80203","20045000160","20255087444","SB26-051","Age Attestation on Computing Devices","COMCAST CABLE COMPANY","80112","Amending 02/06/2026 to Ongoing","March","2026-04-15T00:00:00.000","2025-2026","2026-03-13T00:00:00.000"
"Hanfling, Josh (Sewald Hanfling Public Affairs)","Hanfling","Josh","Sewald Hanfling Public Affairs","80204","20135001240","20255085100","SB26-051","Age Attestation on Computing Devices","Roblox","94403","Monitoring 03/10/2026 to Ongoing","March","2026-04-15T00:00:00.000","2025-2026","2026-03-13T00:00:00.000"
"LaBriola, Lisa (HB Strategies)","LaBriola","Lisa","HB Strategies","80202","20195035473","20255095168","SB26-051","Age Attestation on Computing Devices","Motion Picture Assn of America - (MPAA)","20006","Amending 02/06/2026 to 02/19/2026, Opposing 02/19/2026 to Ongoing","February","2026-03-16T00:00:00.000","2025-2026","2026-03-13T00:00:00.000"
"HACKENBERGER, MICKI M (HB Strategies)","HACKENBERGER","MICKI","HB Strategies","80202","19927000120","20255095164","SB26-051","Age Attestation on Computing Devices","MOTION PICURE ASSOCIATION OF AMERICA","20006","Amending 02/06/2026 to 02/19/2026, Opposing 02/19/2026 to Ongoing","February","2026-03-16T00:00:00.000","2025-2026","2026-03-13T00:00:00.000"
"COYNE, WILLIAM C (Headwaters Strategies)","COYNE","WILLIAM","Headwaters Strategies","80264","20095007146","20255092806","SB26-051","Age Attestation on Computing Devices","Meta Platforms, Inc","78701","Monitoring 02/12/2026 to Ongoing","March","2026-04-15T00:00:00.000","2025-2026","2026-03-13T00:00:00.000"
"Mendez, Florangel M (Mendez, Barkis and Associates)","Mendez","Florangel","Mendez, Barkis and Associates","80203","19927000047","20255084986","SB26-051","Age Attestation on Computing Devices","Sondermind","80202","Monitoring 03/03/2026 to Ongoing","April","2026-05-15T00:00:00.000","2025-2026","2026-03-13T00:00:00.000"
"Pitlik, Amy (Mendez, Barkis and Associates)","Pitlik","Amy","Mendez, Barkis and Associates","80203","20205123823","20255084996","SB26-051","Age Attestation on Computing Devices","Sondermind","80202","Monitoring 03/03/2026 to Ongoing","June","2026-07-15T00:00:00.000","2025-2026","2026-03-13T00:00:00.000"
"WEIST, JEFFREY D (Weist Capitol Group, Inc.)","WEIST","JEFFREY","Weist Capitol Group, Inc.","80209","19987000348","20255092057","SB26-051","Age Attestation on Computing Devices","Colorado Cable Telecommunications Association","80209","Amending 02/11/2026 to Ongoing","March","2026-04-15T00:00:00.000","2025-2026","2026-03-13T00:00:00.000"
"Pitlik, Amy (Mendez, Barkis and Associates)","Pitlik","Amy","Mendez, Barkis and Associates","80203","20205123823","20255084996","SB26-051","Age Attestation on Computing Devices","Sondermind","80202","Monitoring 03/03/2026 to Ongoing","March","2026-04-15T00:00:00.000","2025-2026","2026-03-13T00:00:00.000"
"Larson, Colin","Larson","Colin",,"94965","20255015902","20255087880","SB26-051","Age Attestation on Computing Devices","Google LLC and its Affiliates","94965","Monitoring 01/31/2026 to 02/28/2026, Supporting 02/28/2026 to Ongoing","February","2026-03-16T00:00:00.000","2025-2026","2026-03-13T00:00:00.000"
"Hanfling, Josh (Sewald Hanfling Public Affairs)","Hanfling","Josh","Sewald Hanfling Public Affairs","80204","20135001240","20255085100","SB26-051","Age Attestation on Computing Devices","Colorado Technology Association","80205","Amending 02/11/2026 to Ongoing","March","2026-04-15T00:00:00.000","2025-2026","2026-03-13T00:00:00.000"
"Dollar, Meghan (Colorado Chamber of Commerce)","Dollar","Meghan","Colorado Chamber of Commerce","80290","20225092142","20255085271","SB26-051","Age Attestation on Computing Devices","Colorado Chamber of Commerce","80202","Amending 02/19/2026 to Ongoing","March","2026-04-15T00:00:00.000","2025-2026","2026-03-13T00:00:00.000"
"Neimond, Kevin (HB Strategies)","Neimond","Kevin","HB Strategies","80202","20245000965","20255095173","SB26-051","Age Attestation on Computing Devices","MPAA (Motion Picture Association of America)","20006","Opposing 02/19/2026 to Ongoing, Amending 02/06/2026 to 02/19/2026","February","2026-03-16T00:00:00.000","2025-2026","2026-03-13T00:00:00.000"
"Mendez, Florangel M (Mendez, Barkis and Associates)","Mendez","Florangel","Mendez, Barkis and Associates","80203","19927000047","20255084986","SB26-051","Age Attestation on Computing Devices","Sondermind","80202","Monitoring 03/03/2026 to Ongoing","June","2026-07-15T00:00:00.000","2025-2026","2026-03-13T00:00:00.000"
"Peetz, Elizabeth A","Peetz","Elizabeth",,"80112","20175003737","20255096642","SB26-051","Age Attestation on Computing Devices","Comcast","80112","Amending 02/04/2026 to Ongoing","March","2026-04-15T00:00:00.000","2025-2026","2026-03-13T00:00:00.000"
"Long, Rebecca (Siegel Long Public Affairs, LLC)","Long","Rebecca","Siegel Long Public Affairs, LLC","80203","20165034049","20255089871","SB26-051","Age Attestation on Computing Devices","New Era Colorado","80204","Monitoring 02/04/2026 to Ongoing","March","2026-04-15T00:00:00.000","2025-2026","2026-03-13T00:00:00.000"
"Coleman, Timothy (Coleman Legislative Advocacy LLC)","Coleman","Timothy","Coleman Legislative Advocacy LLC","80033","20245091694","20255085916","SB26-051","Age Attestation on Computing Devices","Luminate Broadband","80487","Monitoring 02/26/2026 to Ongoing, Monitoring 02/26/2026 to Ongoing","March","2026-04-15T00:00:00.000","2025-2026","2026-03-13T00:00:00.000"
"FURMAN, LOREN RACHEL (Colorado Chamber of Commerce)","FURMAN","LOREN","Colorado Chamber of Commerce","80290","20085000213","20255085268","SB26-051","Age Attestation on Computing Devices","Colorado Chamber of Commerce","80202","Amending 02/19/2026 to Ongoing","March","2026-04-15T00:00:00.000","2025-2026","2026-03-13T00:00:00.000"
"Lo, Elizabeth (HB STRATEGIES)","Lo","Elizabeth","HB STRATEGIES","80202","20235000348","20255095171","SB26-051","Age Attestation on Computing Devices","MPAA (Motion Picture Association of America)","20006","Opposing 02/19/2026 to Ongoing","March","2026-04-15T00:00:00.000","2025-2026","2026-03-13T00:00:00.000"
"Coleman, Timothy (Coleman Legislative Advocacy LLC)","Coleman","Timothy","Coleman Legislative Advocacy LLC","80033","20245091694","20255085916","SB26-051","Age Attestation on Computing Devices","Mountain View Electric Association","80831","Monitoring 02/26/2026 to Ongoing, Monitoring 02/26/2026 to Ongoing","March","2026-04-15T00:00:00.000","2025-2026","2026-03-13T00:00:00.000"
"Pitlik, Amy (Mendez, Barkis and Associates)","Pitlik","Amy","Mendez, Barkis and Associates","80203","20205123823","20255084996","SB26-051","Age Attestation on Computing Devices","Sondermind","80202","Monitoring 03/03/2026 to Ongoing","April","2026-05-15T00:00:00.000","2025-2026","2026-03-13T00:00:00.000"
"Martinez, Vanessa Hope","Martinez","Vanessa",,"80204","20255012059","20255087750","SB26-051","Age Attestation on Computing Devices","Colorado Organization for Latina Opportunity and Reproductive Rights (COLOR)","80204","Monitoring 02/02/2026 to Ongoing","February","2026-03-16T00:00:00.000","2025-2026","2026-03-13T00:00:00.000"
"Colorado Legislative Strategies",,,"Colorado Legislative Strategies","80203","20025002196","20255091147","SB26-051","Age Attestation on Computing Devices","Stride, Inc.","20171","Amending 02/06/2026 to Ongoing","March","2026-04-15T00:00:00.000","2025-2026","2026-03-13T00:00:00.000"
"Osse, Melissa YVE (Parker Strategies LLC)","Osse","Melissa","Parker Strategies LLC","80134","20245101758","20255085589","SB26-051","Age Attestation on Computing Devices","Lumen","71203","Monitoring 01/28/2026 to Ongoing","February","2026-03-16T00:00:00.000","2025-2026","2026-03-13T00:00:00.000"
"LAYTON, MELANIE M. (Colorado Legislative Strategies)","LAYTON","MELANIE","Colorado Legislative Strategies","80203","20025002192","20255091131","SB26-051","Age Attestation on Computing Devices","Stride, Inc.","20171","Amending 02/06/2026 to Ongoing","February","2026-03-16T00:00:00.000","2025-2026","2026-03-13T00:00:00.000"
"MCKENNA, JULIE (BRANDEBERRY MCKENNA PUBLIC AFFAIRS)","MCKENNA","JULIE","BRANDEBERRY MCKENNA PUBLIC AFFAIRS","80203","19927000552","20255087658","SB26-051","Age Attestation on Computing Devices","Comcast","80112","Amending 02/18/2026 to Ongoing","February","2026-03-16T00:00:00.000","2025-2026","2026-03-13T00:00:00.000"
"Kitts, Riley Jess (Colorado Children's Campaign)","Kitts","Riley","Colorado Children's Campaign","80290","20185030583","20255103219","SB26-051","Age Attestation on Computing Devices","Colorado Children's Campaign","80290","Supporting 02/03/2026 to Ongoing","March","2026-04-15T00:00:00.000","2025-2026","2026-03-13T00:00:00.000"
"Barnes, Sarah","Barnes","Sarah",,"80290","20225086932","20255086102","SB26-051","Age Attestation on Computing Devices","Colorado Children's Campaign","80203","Supporting 02/03/2026 to Ongoing","February","2026-03-16T00:00:00.000","2025-2026","2026-03-13T00:00:00.000"
"Hogan, Mary K (Fulcrum Group US)","Hogan","Mary","Fulcrum Group US","80202","20165008698","20255087122","SB26-051","Age Attestation on Computing Devices","Google LLC","94043","Supporting 02/10/2026 to Ongoing","February","2026-03-16T00:00:00.000","2025-2026","2026-03-13T00:00:00.000"
"Sewald, R.D. (Sewald Hanfling Public Affairs)","Sewald","R.D.","Sewald Hanfling Public Affairs","80204","20125035860","20255084877","SB26-051","Age Attestation on Computing Devices","Colorado Technology Association","80250","Amending 02/11/2026 to Ongoing","March","2026-04-15T00:00:00.000","2025-2026","2026-03-13T00:00:00.000"
"Mendez, Florangel M (Mendez, Barkis and Associates)","Mendez","Florangel","Mendez, Barkis and Associates","80203","19927000047","20255084986","SB26-051","Age Attestation on Computing Devices","Sondermind","80202","Monitoring 03/03/2026 to Ongoing","May","2026-06-15T00:00:00.000","2025-2026","2026-03-13T00:00:00.000"
"Teevan, Benjamin M (Cavan Consulting)","Teevan","Benjamin","Cavan Consulting","80205","20075002168","20255095684","SB26-051","Age Attestation on Computing Devices","TikTok U.S. Data Security Joint Venture","90230","Monitoring 02/10/2026 to Ongoing","March","2026-04-15T00:00:00.000","2025-2026","2026-03-13T00:00:00.000"
"Hullinghorst, Lara Lee (Virtual Operations, LLC)","Hullinghorst","Lara Lee","Virtual Operations, LLC","80303","20165026176","20255095271","SB26-051","Age Attestation on Computing Devices","The Boulder Chamber","80302","Monitoring 02/01/2026 to Ongoing","March","2026-04-15T00:00:00.000","2025-2026","2026-03-13T00:00:00.000"
"HB Strategies",,,"HB Strategies","80202","20225000329","20255095160","SB26-051","Age Attestation on Computing Devices","MPAA (Motion Picture Assciation of America)","20006","Opposing 02/19/2026 to Ongoing, Amending 02/06/2026 to 02/19/2026","February","2026-03-16T00:00:00.000","2025-2026","2026-03-13T00:00:00.000"
"LAYTON, MELANIE M. (Colorado Legislative Strategies)","LAYTON","MELANIE","Colorado Legislative Strategies","80203","20025002192","20255091131","SB26-051","Age Attestation on Computing Devices","TechNet","96814","Monitoring 03/02/2026 to Ongoing","March","2026-04-15T00:00:00.000","2025-2026","2026-03-13T00:00:00.000"
"Green Turner, Joan Andrew (J. Andrew Green & Assoc., Inc.) (J. Andrew Green & Assoc., Inc.)","Green Turner","Joan Andrew","J. Andrew Green & Assoc., Inc.","80126","19917000039","20255088821","SB26-051","Age Attestation on Computing Devices","MPAA (Motion Picture Association of America)","20006","Opposing 02/19/2026 to Ongoing","March","2026-04-15T00:00:00.000","2025-2026","2026-03-13T00:00:00.000"
"The Capstone Group, LLC",,,"The Capstone Group, LLC","80264","20035003105","20255085150","SB26-051","Age Attestation on Computing Devices","Apple Inc","95014","Amending 02/08/2026 to Ongoing","February","2026-03-16T00:00:00.000","2025-2026","2026-03-13T00:00:00.000"
"FURMAN, LOREN RACHEL (Colorado Chamber of Commerce)","FURMAN","LOREN","Colorado Chamber of Commerce","80290","20085000213","20255085268","SB26-051","Age Attestation on Computing Devices","Colorado Chamber of Commerce","80202","Amending 02/19/2026 to Ongoing","February","2026-03-16T00:00:00.000","2025-2026","2026-03-13T00:00:00.000"
"Coleman, Timothy (Coleman Legislative Advocacy LLC)","Coleman","Timothy","Coleman Legislative Advocacy LLC","80033","20245091694","20255085916","SB26-051","Age Attestation on Computing Devices","Elevate Fiber","81401","Monitoring 02/26/2026 to Ongoing, Monitoring 02/26/2026 to Ongoing","February","2026-03-16T00:00:00.000","2025-2026","2026-03-13T00:00:00.000"
